cntry,pspwght,gincdif,Y_support_redist,hincfel,T_subj_poor,hinctnta,agea,eduyrs,gndr,female,emplrel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
BE,0.86612964,2.0,1.0,2.0,0.0,,45.0,17.0,2,1,1.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,4.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,6.0,5.0,6.0,6.0
BE,0.7657577,1.0,1.0,2.0,0.0,,,12.0,2,1,2.0,5.0,4.0,6.0,3.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,6.0,3.0,6.0,,5.0,3.0,4.0,6.0,3.0,5.0
BE,1.018485,3.0,0.0,2.0,0.0,,18.0,13.0,2,1,1.0,6.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0
BE,0.80884606,1.0,1.0,1.0,0.0,,35.0,17.0,2,1,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,2.0,2.0,5.0,6.0,5.0,4.0,5.0
BE,0.81247246,2.0,1.0,1.0,0.0,,64.0,23.0,1,0,1.0,6.0,3.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0
BE,0.72328895,2.0,1.0,1.0,0.0,,22.0,17.0,1,0,,5.0,3.0,5.0,3.0,2.0,5.0,4.0,6.0,5.0,3.0,6.0,5.0,4.0,4.0,6.0,4.0,3.0,6.0,6.0,4.0,5.0
BE,0.7011097,2.0,1.0,1.0,0.0,4.0,83.0,12.0,1,0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0
BE,0.97613543,4.0,0.0,1.0,0.0,10.0,25.0,17.0,2,1,,3.0,4.0,6.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,4.0,3.0,6.0,4.0,5.0,5.0,5.0,5.0
BE,0.7294824,2.0,1.0,3.0,1.0,5.0,51.0,16.0,1,0,1.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0
BE,1.0295833,2.0,1.0,2.0,0.0,8.0,44.0,17.0,2,1,2.0,6.0,,6.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,3.0,4.0,2.0,6.0,6.0,5.0,3.0
BE,0.84881115,1.0,1.0,1.0,0.0,9.0,44.0,17.0,2,1,1.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0
BE,0.49406242,2.0,1.0,1.0,0.0,10.0,56.0,15.0,1,0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
BE,0.9493711,2.0,1.0,3.0,1.0,1.0,53.0,15.0,2,1,1.0,5.0,2.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0
BE,0.7973889,1.0,1.0,1.0,0.0,9.0,42.0,16.0,2,1,1.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0
BE,1.1473821,2.0,1.0,2.0,0.0,3.0,67.0,11.0,1,0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0
BE,0.6696037,2.0,1.0,1.0,0.0,10.0,25.0,17.0,2,1,2.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
BE,0.7657577,4.0,0.0,3.0,1.0,5.0,78.0,12.0,2,1,1.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,-1.0,5.0,,5.0,3.0,5.0,5.0,5.0,4.0
BE,1.383115,1.0,1.0,2.0,0.0,,54.0,14.0,1,0,1.0,5.0,,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,,,,6.0,5.0,6.0,6.0,6.0,6.0
BE,0.6112828,1.0,1.0,2.0,0.0,,68.0,12.0,1,0,2.0,6.0,2.0,6.0,3.0,6.0,4.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0
BE,0.67893547,4.0,0.0,1.0,0.0,10.0,26.0,18.0,1,0,1.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,6.0,3.0,5.0,3.0,5.0,6.0,5.0,5.0
BE,0.91156745,4.0,0.0,1.0,0.0,10.0,37.0,17.0,1,0,1.0,6.0,3.0,5.0,5.0,3.0,6.0,2.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,2.0,5.0
BE,0.49406242,2.0,1.0,2.0,0.0,5.0,59.0,14.0,1,0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,,3.0,3.0,4.0,5.0,4.0,4.0
BE,1.0920484,3.0,0.0,1.0,0.0,3.0,32.0,12.0,1,0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0
BE,1.1647856,2.0,1.0,4.0,1.0,8.0,50.0,18.0,1,0,1.0,5.0,5.0,5.0,4.0,6.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0
BE,0.76384836,4.0,0.0,2.0,0.0,,80.0,11.0,1,0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
BE,0.7294824,1.0,1.0,2.0,0.0,,50.0,16.0,1,0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,6.0,6.0,4.0,6.0,4.0,5.0,4.0,5.0,2.0,6.0,6.0,6.0,5.0,6.0,5.0
BE,0.9493711,1.0,1.0,4.0,1.0,2.0,39.0,19.0,2,1,2.0,6.0,2.0,6.0,6.0,6.0,5.0,3.0,5.0,4.0,2.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,6.0,6.0,2.0,2.0
BE,0.89381653,2.0,1.0,2.0,0.0,,43.0,21.0,1,0,1.0,6.0,3.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0
BE,0.75166273,3.0,0.0,3.0,1.0,,32.0,16.0,1,0,1.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,6.0,4.0,5.0,5.0
BE,0.91156745,2.0,1.0,1.0,0.0,9.0,40.0,22.0,1,0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0
BE,0.61481893,2.0,1.0,1.0,0.0,10.0,57.0,17.0,1,0,1.0,6.0,3.0,5.0,5.0,3.0,4.0,,5.0,3.0,4.0,6.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0
BE,0.61481893,3.0,0.0,2.0,0.0,4.0,76.0,14.0,1,0,1.0,2.0,3.0,6.0,5.0,6.0,3.0,5.0,5.0,6.0,3.0,5.0,6.0,4.0,5.0,,4.0,5.0,5.0,5.0,5.0,2.0
BE,0.888635,2.0,1.0,2.0,0.0,8.0,29.0,16.0,2,1,1.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,3.0,5.0,3.0,6.0,5.0,5.0,5.0
BE,0.7469209,1.0,1.0,2.0,0.0,,47.0,16.0,2,1,1.0,6.0,,6.0,3.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0,6.0,3.0,4.0,2.0,2.0,3.0,6.0,4.0,4.0,4.0
BE,0.3701424,4.0,0.0,2.0,0.0,,27.0,20.0,1,0,1.0,4.0,,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,6.0,4.0,6.0,5.0,5.0,2.0,6.0,6.0,6.0,6.0
BE,1.654875,2.0,1.0,3.0,1.0,,46.0,9.0,2,1,1.0,5.0,,5.0,3.0,6.0,,2.0,5.0,6.0,5.0,5.0,6.0,3.0,2.0,,5.0,5.0,5.0,4.0,5.0,5.0
BE,0.50519747,2.0,1.0,2.0,0.0,,38.0,20.0,1,0,1.0,5.0,,6.0,2.0,4.0,4.0,3.0,6.0,5.0,5.0,5.0,2.0,,3.0,,5.0,2.0,4.0,4.0,2.0,4.0
BE,0.6780956,2.0,1.0,2.0,0.0,,62.0,17.0,2,1,2.0,6.0,3.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0,3.0,6.0,4.0,6.0,5.0,4.0,6.0
BE,0.65387976,2.0,1.0,1.0,0.0,5.0,39.0,16.0,1,0,1.0,3.0,,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,6.0,5.0,4.0
BE,0.50233865,2.0,1.0,3.0,1.0,2.0,81.0,17.0,2,1,3.0,5.0,3.0,6.0,2.0,,3.0,2.0,2.0,5.0,3.0,5.0,2.0,,5.0,,2.0,3.0,4.0,4.0,5.0,3.0
BE,1.2390379,3.0,0.0,1.0,0.0,8.0,22.0,16.0,1,0,1.0,5.0,,5.0,3.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,6.0
BE,4.0000043,4.0,0.0,1.0,0.0,4.0,17.0,12.0,1,0,,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0
BE,0.67893547,2.0,1.0,1.0,0.0,,31.0,11.0,1,0,1.0,4.0,2.0,6.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,6.0,5.0
BE,0.68960136,1.0,1.0,2.0,0.0,,61.0,19.0,1,0,1.0,5.0,,5.0,2.0,4.0,2.0,4.0,5.0,5.0,6.0,5.0,4.0,2.0,6.0,2.0,4.0,4.0,5.0,6.0,5.0,4.0
BE,0.81995034,5.0,0.0,1.0,0.0,8.0,33.0,12.0,2,1,1.0,5.0,3.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,2.0,6.0,6.0,6.0,6.0,,4.0,3.0,6.0,5.0,5.0,3.0
BE,0.48930433,3.0,0.0,1.0,0.0,,68.0,12.0,2,1,1.0,5.0,2.0,5.0,2.0,6.0,5.0,4.0,5.0,6.0,4.0,6.0,4.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0
BE,0.66852725,2.0,1.0,1.0,0.0,10.0,32.0,17.0,2,1,2.0,6.0,3.0,6.0,4.0,3.0,6.0,,5.0,3.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,4.0,5.0
BE,0.95202196,2.0,1.0,2.0,0.0,5.0,,12.0,1,0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
BE,1.1708457,2.0,1.0,1.0,0.0,8.0,53.0,13.0,1,0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
BE,1.2932377,3.0,0.0,2.0,0.0,4.0,65.0,8.0,2,1,1.0,5.0,2.0,6.0,2.0,5.0,5.0,3.0,6.0,6.0,6.0,4.0,6.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,5.0,6.0
BE,0.5927467,1.0,1.0,1.0,0.0,5.0,32.0,19.0,1,0,1.0,5.0,2.0,5.0,3.0,5.0,,4.0,5.0,3.0,2.0,5.0,4.0,2.0,5.0,,5.0,2.0,5.0,5.0,,
BE,1.2155076,2.0,1.0,1.0,0.0,,18.0,13.0,1,0,,4.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,6.0,4.0,3.0,5.0,5.0,3.0,5.0
BE,0.7027741,1.0,1.0,2.0,0.0,4.0,31.0,14.0,2,1,1.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,4.0,5.0
BE,1.9043626,2.0,1.0,3.0,1.0,,22.0,15.0,2,1,,,3.0,-1.0,4.0,6.0,5.0,2.0,2.0,5.0,6.0,6.0,6.0,3.0,-1.0,6.0,3.0,4.0,6.0,2.0,5.0,5.0
BE,0.8399552,2.0,1.0,2.0,0.0,5.0,20.0,12.0,1,0,,3.0,4.0,5.0,5.0,6.0,3.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,6.0,4.0
BE,0.74168485,3.0,0.0,2.0,0.0,,60.0,15.0,1,0,1.0,6.0,4.0,5.0,6.0,6.0,6.0,2.0,3.0,4.0,6.0,6.0,5.0,4.0,4.0,2.0,5.0,3.0,6.0,6.0,4.0,6.0
BE,0.86187696,2.0,1.0,1.0,0.0,10.0,47.0,16.0,1,0,1.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0
BE,0.8786887,3.0,0.0,1.0,0.0,,42.0,16.0,2,1,1.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0
BE,1.2454957,1.0,1.0,1.0,0.0,,68.0,8.0,1,0,1.0,2.0,,4.0,2.0,6.0,3.0,5.0,4.0,5.0,,5.0,6.0,2.0,4.0,,6.0,4.0,5.0,4.0,5.0,2.0
BE,0.94487655,2.0,1.0,1.0,0.0,,,13.0,2,1,1.0,4.0,3.0,6.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,2.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0
BE,0.72328895,2.0,1.0,1.0,0.0,,24.0,18.0,1,0,,3.0,3.0,4.0,5.0,5.0,6.0,3.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,2.0,6.0
BE,0.62833756,3.0,0.0,1.0,0.0,8.0,34.0,15.0,1,0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,2.0,4.0,4.0,4.0,2.0,5.0,6.0,2.0,3.0
BE,0.9696809,3.0,0.0,3.0,1.0,5.0,48.0,19.0,1,0,1.0,6.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,2.0,6.0,5.0,5.0,6.0
BE,0.7995896,2.0,1.0,1.0,0.0,9.0,43.0,17.0,1,0,1.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
BE,1.2053373,2.0,1.0,1.0,0.0,,17.0,11.0,2,1,1.0,4.0,4.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,6.0
BE,0.6752543,2.0,1.0,1.0,0.0,8.0,30.0,18.0,1,0,1.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0
BE,0.5908473,2.0,1.0,2.0,0.0,,57.0,15.0,2,1,1.0,6.0,3.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,6.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0
BE,0.81995034,1.0,1.0,2.0,0.0,,23.0,12.0,2,1,1.0,5.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0
BE,0.5709638,2.0,1.0,1.0,0.0,8.0,61.0,14.0,2,1,1.0,3.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0
BE,2.0112257,2.0,1.0,2.0,0.0,,73.0,10.0,2,1,3.0,4.0,,5.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,5.0,,5.0,5.0,5.0,3.0
BE,3.254364,2.0,1.0,2.0,0.0,,63.0,9.0,2,1,2.0,4.0,3.0,6.0,5.0,5.0,6.0,2.0,6.0,4.0,,6.0,6.0,5.0,5.0,2.0,6.0,4.0,6.0,6.0,6.0,2.0
BE,1.8154674,3.0,0.0,2.0,0.0,5.0,25.0,9.0,1,0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0
BE,1.1396303,1.0,1.0,4.0,1.0,4.0,22.0,18.0,2,1,1.0,4.0,2.0,6.0,2.0,4.0,5.0,4.0,6.0,6.0,,5.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,4.0,6.0,2.0
BE,0.88094026,1.0,1.0,2.0,0.0,3.0,90.0,10.0,2,1,1.0,5.0,3.0,5.0,2.0,5.0,5.0,6.0,5.0,5.0,3.0,-1.0,-1.0,3.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0
